path,label,source,dataset,domain,generator,split_hint,sample_weight,is_hard_negative
G:\shixi\April\test\page_images\images\00003_51ee9acceb4f.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00004_652d96c39259.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00005_ba550a501d8a.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00008_58ffdec7a18b.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00010_7db4d86af9bd.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00012_f3ce40a01551.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00013_d8be2d3e9725.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00014_8665a94c7386.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00021_eb7cda23e5a1.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00022_fcb90479aa2c.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00024_617c289d06c3.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00028_5726fd75c318.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00029_a947975c1316.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00030_e4713e3b876c.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00031_acf1043a2dd9.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00032_6bbb0be28893.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00033_271841ee118b.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00034_be6dd5bd996e.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\图片1.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\图片2.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\28bbd243a9e8a41b9e60534c2a30a41c510059497.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\2e3c40e7d99a8cc63fcc4f326cf80b541778800963 (1).png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\488aaf9e43127b1b6ed892d0f02feb0d3537120757025697.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\49f0e37c6bcbfbb6a117acf8d063bcaa403879014.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\55d678c6de57d82210d91583cace106c599265427.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\6d7bff2b27f7c2bc9bb584db9f43343b289351363.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\736e98fba3794f01f6ee717a9da589873494380293851471.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\7581dc7f8a5b6d302524295b86633bad1354835581.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\7925624dcc38c9c85ae0646a1f0d884c39689297.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\a2598ee5580159433783959ea6615db91281174497.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\a2a2667c2a98055f59f76837c3d34f2f403879014.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\d428030c8960aedacf7a34eccd7ab475647316973.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\efa4342b544746d0fe4ecdc3ec3b74043537120757025697.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\f5bd91d2042b0ae637e6321697f993e42080150725.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\搜集\f61656e0a9b5e9977afad80cfa903d9f484973240.png,1,hard,collected,photo,gpt,hard,3.0,1
